ticket_id,subject,body,category,urgency,source
SYN-00001,,I have no idea what this $49 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00002,,I was charged twice for my Basic subscription. Two identical charges of $149 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00003,,I cancelled 5 days ago but got billed again. This is the absolutely unacceptable. I need my $99 back immediately.,billing,high,synthetic
SYN-00004,,I have no idea what this $29 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00005,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Acme Corp.,billing,normal,synthetic
SYN-00006,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: NovaCo.,billing,normal,synthetic
SYN-00007,,I was charged twice for my Pro subscription. Two identical charges of $49 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00008,,I cancelled 30 days ago but got billed again. This is the a major issue for our team. I need my $99 back immediately.,billing,high,synthetic
SYN-00009,,I was charged twice for my Team subscription. Two identical charges of $99 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00010,,I have no idea what this $29 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00011,,I have no idea what this $19 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00012,,My card ending in 1234 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00013,,My card ending in 5678 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00014,,I downgraded my plan starting yesterday but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00015,,I have no idea what this $299 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00016,,My invoice shows $149 but my plan is $79 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00017,,I cancelled 7 days ago but got billed again. This is the absolutely unacceptable. I need my $79 back immediately.,billing,high,synthetic
SYN-00018,,I was charged twice for my Starter subscription. Two identical charges of $49 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00019,,My invoice shows $149 but my plan is $99 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00020,,I downgraded my plan after we upgraded plans but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00021,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Acme Corp.,billing,normal,synthetic
SYN-00022,,My card ending in 4242 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00023,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Bright Ventures LLC.,billing,normal,synthetic
SYN-00024,,I downgraded my plan randomly throughout the day but I am still being charged the Basic rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00025,,I downgraded my plan randomly throughout the day but I am still being charged the Enterprise rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00026,,I cancelled 3 days ago but got billed again. This is the absolutely unacceptable. I need my $29 back immediately.,billing,high,synthetic
SYN-00027,,I have no idea what this $99 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00028,,I downgraded my plan since the last update but I am still being charged the Enterprise rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00029,,I downgraded my plan since the last update but I am still being charged the Business rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00030,,My card ending in 5678 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00031,,My card ending in 5678 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00032,,I cancelled 7 days ago but got billed again. This is the very frustrating. I need my $149 back immediately.,billing,high,synthetic
SYN-00033,,I have no idea what this $149 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00034,,I have no idea what this $29 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00035,,I have no idea what this $49 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00036,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00037,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00038,,I cancelled 14 days ago but got billed again. This is the the third time this month. I need my $299 back immediately.,billing,high,synthetic
SYN-00039,,I have no idea what this $29 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00040,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00041,,I have no idea what this $149 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00042,,I downgraded my plan starting yesterday but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00043,,I downgraded my plan for the past week but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00044,,My card ending in 5678 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00045,,I was charged twice for my Business subscription. Two identical charges of $19 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00046,,I have no idea what this $149 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00047,,I cancelled 14 days ago but got billed again. This is the causing us serious problems. I need my $29 back immediately.,billing,high,synthetic
SYN-00048,,I have no idea what this $299 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00049,,I cancelled 5 days ago but got billed again. This is the very frustrating. I need my $149 back immediately.,billing,high,synthetic
SYN-00050,,I have no idea what this $19 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00051,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Bright Ventures LLC.,billing,normal,synthetic
SYN-00052,,I have no idea what this $19 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00053,,My card ending in 9012 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00054,,My invoice shows $299 but my plan is $79 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00055,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: NovaCo.,billing,normal,synthetic
SYN-00056,,I was charged twice for my Pro subscription. Two identical charges of $79 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00057,,I was charged twice for my Business subscription. Two identical charges of $29 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00058,,I cancelled 14 days ago but got billed again. This is the a major issue for our team. I need my $79 back immediately.,billing,high,synthetic
SYN-00059,,I was charged twice for my Starter subscription. Two identical charges of $299 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00060,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: NovaCo.,billing,normal,synthetic
SYN-00061,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Bright Ventures LLC.,billing,normal,synthetic
SYN-00062,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Acme Corp.,billing,normal,synthetic
SYN-00063,,I have no idea what this $29 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00064,,I was charged twice for my Basic subscription. Two identical charges of $19 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00065,,I downgraded my plan for the past week but I am still being charged the Enterprise rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00066,,I was charged twice for my Enterprise subscription. Two identical charges of $299 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00067,,I cancelled 3 days ago but got billed again. This is the the third time this month. I need my $299 back immediately.,billing,high,synthetic
SYN-00068,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00069,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Acme Corp.,billing,normal,synthetic
SYN-00070,,I downgraded my plan for the past week but I am still being charged the Basic rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00071,,I downgraded my plan randomly throughout the day but I am still being charged the Basic rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00072,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00073,,I cancelled 5 days ago but got billed again. This is the a major issue for our team. I need my $149 back immediately.,billing,high,synthetic
SYN-00074,,I downgraded my plan since the last update but I am still being charged the Team rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00075,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Bright Ventures LLC.,billing,normal,synthetic
SYN-00076,,My card ending in 4242 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00077,,I was charged twice for my Enterprise subscription. Two identical charges of $79 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00078,,I downgraded my plan starting yesterday but I am still being charged the Enterprise rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00079,,I was charged twice for my Business subscription. Two identical charges of $19 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00080,,I was charged twice for my Pro subscription. Two identical charges of $29 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00081,,My card ending in 4242 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00082,,I downgraded my plan starting yesterday but I am still being charged the Team rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00083,,I cancelled 14 days ago but got billed again. This is the a major issue for our team. I need my $29 back immediately.,billing,high,synthetic
SYN-00084,,I cancelled 30 days ago but got billed again. This is the a major issue for our team. I need my $149 back immediately.,billing,high,synthetic
SYN-00085,,My card ending in 1234 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00086,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00087,,I have no idea what this $149 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00088,,My card ending in 5678 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00089,,My card ending in 9012 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00090,,I was charged twice for my Business subscription. Two identical charges of $99 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00091,,I was charged twice for my Enterprise subscription. Two identical charges of $49 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00092,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00093,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00094,,I was charged twice for my Pro subscription. Two identical charges of $29 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00095,,I have no idea what this $49 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00096,,I cancelled 3 days ago but got billed again. This is the the third time this month. I need my $49 back immediately.,billing,high,synthetic
SYN-00097,,I was charged twice for my Team subscription. Two identical charges of $99 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00098,,My invoice shows $99 but my plan is $79 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00099,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic
SYN-00100,,I have no idea what this $19 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00101,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: NovaCo.,billing,normal,synthetic
SYN-00102,,I cancelled 14 days ago but got billed again. This is the causing us serious problems. I need my $79 back immediately.,billing,high,synthetic
SYN-00103,,I cancelled 3 days ago but got billed again. This is the causing us serious problems. I need my $49 back immediately.,billing,high,synthetic
SYN-00104,,My invoice shows $99 but my plan is $29 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00105,,My card ending in 4242 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00106,,I have no idea what this $29 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00107,,I have no idea what this $49 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00108,,I was charged twice for my Starter subscription. Two identical charges of $29 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00109,,My invoice shows $199 but my plan is $79 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00110,,I cancelled 30 days ago but got billed again. This is the causing us serious problems. I need my $99 back immediately.,billing,high,synthetic
SYN-00111,,I cancelled 5 days ago but got billed again. This is the the third time this month. I need my $299 back immediately.,billing,high,synthetic
SYN-00112,,My card ending in 1234 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00113,,I downgraded my plan after we upgraded plans but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00114,,I downgraded my plan since the last update but I am still being charged the Team rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00115,,I was charged twice for my Basic subscription. Two identical charges of $19 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00116,,I downgraded my plan since the last update but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00117,,I downgraded my plan starting yesterday but I am still being charged the Business rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00118,,My card ending in 9012 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00119,,My card ending in 1234 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00120,,I downgraded my plan since the last update but I am still being charged the Starter rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00121,,I cancelled 3 days ago but got billed again. This is the causing us serious problems. I need my $299 back immediately.,billing,high,synthetic
SYN-00122,,My invoice shows $99 but my plan is $99 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00123,,My card ending in 9012 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00124,,I cancelled 7 days ago but got billed again. This is the very frustrating. I need my $99 back immediately.,billing,high,synthetic
SYN-00125,,I was charged twice for my Team subscription. Two identical charges of $29 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00126,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Acme Corp.,billing,normal,synthetic
SYN-00127,,I have no idea what this $149 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00128,,I was charged twice for my Pro subscription. Two identical charges of $19 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00129,,My card ending in 1234 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00130,,I was charged twice for my Team subscription. Two identical charges of $49 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00131,,I downgraded my plan since the last update but I am still being charged the Business rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00132,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Acme Corp.,billing,normal,synthetic
SYN-00133,,I have no idea what this $79 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00134,,I cancelled 3 days ago but got billed again. This is the a major issue for our team. I need my $299 back immediately.,billing,high,synthetic
SYN-00135,,I cancelled 30 days ago but got billed again. This is the absolutely unacceptable. I need my $19 back immediately.,billing,high,synthetic
SYN-00136,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Acme Corp.,billing,normal,synthetic
SYN-00137,,My card ending in 5678 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00138,,My invoice shows $299 but my plan is $99 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00139,,I cancelled 14 days ago but got billed again. This is the very frustrating. I need my $149 back immediately.,billing,high,synthetic
SYN-00140,,I have no idea what this $29 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00141,,My invoice shows $99 but my plan is $99 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00142,,I downgraded my plan since the last update but I am still being charged the Pro rate. This needs to be corrected and backdated.,billing,normal,synthetic
SYN-00143,,My card ending in 4242 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00144,,I was charged twice for my Team subscription. Two identical charges of $99 appeared on my statement. Please refund one.,billing,high,synthetic
SYN-00145,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Bright Ventures LLC.,billing,normal,synthetic
SYN-00146,,I cancelled 3 days ago but got billed again. This is the very frustrating. I need my $149 back immediately.,billing,high,synthetic
SYN-00147,,My invoice shows $149 but my plan is $79 per month. Please fix this and refund the difference.,billing,normal,synthetic
SYN-00148,,My card ending in 5678 expired. How do I update payment before the next cycle?,billing,normal,synthetic
SYN-00149,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Acme Corp.,billing,normal,synthetic
SYN-00150,,I have no idea what this $79 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic
SYN-00151,,All API calls to your service are returning 500 errors since the last update. This is blocking our entire production deployment. Error: Request timeout,bug_report,critical,synthetic
SYN-00152,,The search stopped working completely. Clicking it does nothing. Tried different browsers — same issue.,bug_report,high,synthetic
SYN-00153,,The app crashes for the past week when I try to export a report. I am on macOS Ventura. Error message: Request timeout,bug_report,critical,synthetic
