ticket_id,subject,body,category,urgency,source,processed_text,word_count,char_count,too_short
SYN-00724,,The reports page takes 45 seconds to load after we upgraded plans. It was instant before. Our whole team is affected.,performance,high,synthetic,nan report page take second load upgraded plan instant whole team affected,12,121,False
SYN-00040,,Can you send a PDF invoice for my last payment? My company needs it for expense reporting. Name on invoice: Tech Solutions Inc.,billing,normal,synthetic,nan send pdf invoice last payment company need expense reporting name invoice tech solution inc,15,131,False
SYN-00850,,Just signed up for Business and getting started. Is there an onboarding guide or someone we can talk to?,general,normal,synthetic,nan signed business getting started onboarding guide someone talk,9,108,False
SYN-00561,,How do I add a new team member with read-only access? We are on the Business plan and cannot figure out the settings.,account_access,normal,synthetic,nan add new team member read access business plan not figure setting,12,121,False
SYN-00172,,All API calls to your service are returning 500 errors starting yesterday. This is blocking our entire production deployment. Error: Authentication failed,bug_report,critical,synthetic,nan api call service returning error starting yesterday blocking entire production deployment error authentication failed,15,158,False
SYN-00523,,Need to move my account to a different email address. Old email is no longer accessible. What is the process?,account_access,normal,synthetic,nan need move account different email address old email no longer accessible process,13,113,False
SYN-00328,,Any plans for a dark mode? Spending all day in the tool and the bright white interface is really straining my eyes.,feature_request,normal,synthetic,nan plan dark mode spending day tool bright white interface really straining eye,13,119,False
SYN-00521,,How do I add a new team member with read-only access? We are on the Pro plan and cannot figure out the settings.,account_access,normal,synthetic,nan add new team member read access pro plan not figure setting,12,116,False
SYN-00013,,My card ending in 5678 expired. How do I update payment before the next cycle?,billing,normal,synthetic,nan card ending expired update payment next cycle,8,82,False
SYN-00888,,Quick question about data export limits — could not find a clear answer in the docs. Can someone point me in the right direction?,general,normal,synthetic,nan quick question data export limit could not find clear answer doc someone point right direction,16,133,False
SYN-00133,,I have no idea what this $79 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic,nan no idea charge not remember signing anything new explain,10,116,False
SYN-00879,,What is included in the Pro plan exactly? Trying to figure out if we need to upgrade before committing to annual.,general,normal,synthetic,nan included pro plan exactly trying figure need upgrade committing annual,11,117,False
SYN-00615,,The browser tab uses more and more memory over time and eventually crashes. Have to refresh every hour or so.,performance,high,synthetic,nan browser tab us memory time eventually crash refresh every hour,11,113,False
SYN-00609,,Exports keep timing out. Any projects report with more than 500 rows fails. I need this data urgently.,performance,high,synthetic,nan export keep timing project report row fails need data urgently,11,106,False
SYN-00597,,I accidentally created two accounts. Can they be merged? I want to keep all the data from both if possible.,account_access,normal,synthetic,nan accidentally created two account merged want keep data possible,10,111,False
SYN-00436,,Would love email or Slack notifications when a report finishes. I miss things because I cannot monitor the dashboard all day.,feature_request,normal,synthetic,nan would love email slack notification report finish miss thing not monitor dashboard day,14,129,False
SYN-00728,,Search results take 10 seconds to appear after typing. Makes the product nearly impossible to use efficiently.,performance,high,synthetic,nan search result take second appear typing make product nearly impossible use efficiently,13,114,False
SYN-00280,,My projects disappear after saving. I get the green success message but everything is gone when I refresh. This is the third time this month.,bug_report,high,synthetic,nan project disappear saving get green success message everything gone refresh third time month,14,145,False
SYN-00461,,Need to move my account to a different email address. Old email is no longer accessible. What is the process?,account_access,normal,synthetic,nan need move account different email address old email no longer accessible process,13,113,False
SYN-00107,,I have no idea what this $49 charge is for. I do not remember signing up for anything new. Can you explain this?,billing,high,synthetic,nan no idea charge not remember signing anything new explain,10,116,False
REAL-00025,,My invoice has the wrong company name on it,billing,normal,manual_real,nan invoice wrong company name,5,47,False
